"","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES","cluster"
"1",20.5,2533.33333333333,26,4.08333333333333,2,3,6,3,1
"2",22,1263.79173076923,26.3846153846154,4.55769230769231,2,11,52,28,2
"3",21,1747.5,20.25,5.5,1,2,4,2,3
"4",22,1395.14285714286,22.8095238095238,4.58333333333333,2,9,21,10,2
"5",22.5,2251.66666666667,43.0833333333333,8.41666666666667,2,2,12,10,1
"6",22.5,2017.25,37.25,5.1875,1,2,4,2,3
"7",20,690,16,4,1,1,1,1,4
"8",22,1551.4275390625,30.97265625,6.0859375,4,43,256,131,2
"9",23,1731.9696124031,33.2868217054264,6.60658914728682,2,29,129,61,3
"10",24,1946.60962962963,42.037037037037,6.96296296296296,3,6,27,23,3
"11",21,1141.78,26.25,5.25,2,3,8,3,4
"12",22,2074.99210526316,30.4210526315789,5.60526315789474,2,6,19,9,3
"13",23,1000,19.8,4.1,2,2,5,1,4
"14",22,1485.83671641791,28.2388059701493,4.91044776119403,2,27,67,41,2
"15",21,1037.93,28.2857142857143,5.21428571428571,2,3,7,3,4
"16",23,1791.35074074074,29.2222222222222,5.75925925925926,2,5,27,21,3
"17",22,1512.85112244898,33.8265306122449,6.41964285714286,3,42,196,100,2
"18",21.5,1393.01038461538,29.9615384615385,4.51923076923077,2,7,26,16,2
"19",22,1198.03836956522,26.4021739130435,4.70380434782609,2,21,92,43,4
"20",20.5,1201.52,30,4.5,1,2,2,1,4
"21",24,1684.47,42.4431818181818,6.20170454545455,2,4,88,44,3
"22",22,1763.661,32.2666666666667,5.33888888888889,2,24,90,44,3
"23",21,1456.15217391304,31.8695652173913,5.03260869565217,2,7,23,13,2
"24",25,2634.5,35,6.875,1,1,2,2,1
"25",21,1014.88888888889,21.3333333333333,3.5,2,4,9,5,4
"26",21,1201.04638888889,34.6666666666667,5.88541666666667,2,10,72,32,4
"27",22,1374.02139784946,31.4731182795699,5.39247311827957,2,16,93,39,2
"28",22.5,1902.5,28.8888888888889,5.81944444444444,2,7,18,9,3
