"HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES"
"D  AACHEN01",23,1768.19330917874,36.3164251207729,7.71014492753623,4,49,414,117
"D  AACHEN02",22,1688.75291666667,37,7.10763888888889,2,16,72,27
"D  AALEN01",22,1737.01108695652,26.3260869565217,6.81521739130435,2,13,46,19
"D  ALFTER01",22,2743.33333333333,52,9,2,2,3,2
"D  AMBERG01",21,1784.28571428571,24.8571428571429,5.71428571428571,1,4,7,4
"D  ANSBACH01",24,1546.66666666667,55,10.1666666666667,1,3,6,3
"D  ASCHAFF01",22,2698.50833333333,39.4666666666667,8.55833333333333,2,8,30,8
"D  AUGSBUR01",21,1983.39358333333,38.5166666666667,7.46458333333333,2,29,120,63
"D  AUGSBUR02",22,1492.87891891892,31.1621621621622,5.83108108108108,2,13,74,23
"D  BAD-HON01",21,1735.92105263158,28.7368421052632,5.64473684210526,1,5,19,6
"D  BAMBERG01",22,1959.99016483516,37.6703296703297,7.36401098901099,3,26,182,75
"D  BAYREUT01",22,1984.27278688525,35.5737704918033,7.30122950819672,2,28,122,47
"D  BERLIN01",22,1776.82940919037,33.4124726477024,7.00492341356674,4,60,914,214
"D  BERLIN02",22,1833.03599496222,37.8010075566751,8.03400503778338,2,45,397,137
"D  BERLIN03",23,1501.39592920354,31.2389380530973,6.1283185840708,3,21,113,67
"D  BERLIN04",22,1814.61446428571,47.2142857142857,8.1875,2,17,56,28
"D  BERLIN05",23,1368.07612244898,27.8163265306122,6.09183673469388,3,8,49,20
"D  BERLIN06",21,1943.39512295082,41.0122950819672,7.01229508196721,2,18,244,50
"D  BERLIN10",23,1500,31.2857142857143,5.21428571428571,1,4,7,4
"D  BERLIN13",22,1764.8945691906,33.6906005221932,6.86227154046997,5,57,766,196
"D  BERLIN14",22,1440.45138157895,31.9473684210526,5.96875,4,28,152,63
"D  BERLIN16",24,1450.93333333333,37.4,6.01666666666667,2,2,15,8
"D  BERLIN17",19.5,1077.5,16.25,3.25,1,1,4,2
"D  BERLIN18",24,1355.86185185185,28.6666666666667,5.41666666666667,2,8,27,24
"D  BERLIN20",23,1391.97714285714,29.9285714285714,5.08928571428571,2,5,14,7
"D  BERLIN21",22,1699.47611111111,37.0555555555556,6.39583333333333,2,10,36,14
"D  BERLIN22",21.5,1156.25,60,6.25,1,2,2,1
"D  BERLIN23",25,1788.59375,24.5,5.09375,1,3,8,4
"D  BERLIN25",24,1700,34,4,1,1,1,1
"D  BERLIN26",21,1235,60,9.5,1,1,1,1
"D  BIBERAC01",23,1375.83333333333,32.8333333333333,7.25,2,2,6,2
"D  BIELEFE01",22,2289.70315789474,35.2421052631579,7.30789473684211,2,24,95,39
"D  BIELEFE02",21,1765.08909090909,35.6060606060606,6.24242424242424,2,10,33,20
"D  BINGEN01",21,1933.82666666667,26,4.08333333333333,2,3,6,3
"D  BOCHUM01",22,1653.62306666667,33.2133333333333,6.93222222222222,2,40,225,87
"D  BOCHUM02",21,2920.61666666667,40.7333333333333,9.65833333333333,2,8,30,14
"D  BONN01",22,1960.3311627907,37.453488372093,7.59108527131783,4,40,258,105
"D  BRANDEN01",22,1663.34615384615,30.1153846153846,5.79807692307692,3,13,26,11
"D  BRAUNSC01",23,1777.52855670103,35.9072164948454,7.65979381443299,2,24,97,50
"D  BRAUNSC02",21,1181.46357142857,32.5357142857143,5.08928571428571,2,7,28,12
"D  BREMEN01",22,1921.17965957447,35.1574468085106,6.63191489361702,2,46,235,104
"D  BREMEN03",22,1324.83,26,5.67307692307692,2,7,13,9
"D  BREMEN04",21,1523.63451612903,38.8193548387097,6.91612903225806,2,26,155,57
"D  BREMEN07",29,672.39,30,4.25,1,2,2,2
"D  BREMEN09",20,2294.15142857143,51,7.82142857142857,2,5,7,5
"D  BREMERH01",21.5,1860.65625,35.575,6.28125,2,14,40,7
"D  BRUHL01",21,864.117647058824,29.7058823529412,3.69117647058824,2,6,17,9
"D  CALW01",20,4250,60,11,1,1,1,1
"D  CHEMNIT01",22,2028.39931034483,32.9224137931034,6.67025862068965,3,20,116,49
"D  CLAUSTH01",23,2232.80241935484,34.741935483871,7.70564516129032,2,18,62,24
"D  COBURG01",22,2485.95588235294,44.7058823529412,8.98529411764706,2,8,17,8
"D  COTTBUS01",22,2163.181375,34.6125,6.9875,2,18,80,31
"D  DARMSTA01",22,2022.56188481675,38.8219895287958,8.53010471204188,3,30,191,69
"D  DARMSTA02",21,1545.11627906977,36.093023255814,7.2906976744186,2,16,43,19
"D  DARMSTA03",23,1000,16.5,3,2,2,2,2
"D  DEGGEND01",22,1598.87152173913,33.5434782608696,6.27173913043478,2,15,46,20
"D  DETMOLD01",21,2426.40625,51.375,7.03125,2,1,8,7
"D  DORTMUN01",22,2357.025078125,35.953125,7.203125,2,31,128,60
"D  DORTMUN02",21.5,1299.45777777778,40.1111111111111,6.78472222222222,2,13,36,16
"D  DORTMUN04",22,1144.40131944444,35.0555555555556,5.05902777777778,2,17,144,42
"D  DRESDEN01",23,1769.63962962963,31.8148148148148,6.32407407407407,2,15,54,26
"D  DRESDEN02",22,1899.56890710383,33.3032786885246,7.17281420765027,3,53,366,138
"D  DRESDEN04",23,1642.27541666667,36.9583333333333,6.29166666666667,2,4,24,17
"D  DRESDEN05",22,1515.375,33.1666666666667,7.25,2,2,12,8
"D  DRESDEN07",21.5,1575,17.25,5.5,1,2,4,2
"D  DRESDEN09",23.5,2516.5,45,10,1,1,2,1
"D  DUSSELD01",22,1884.11320512821,37.2435897435897,6.8349358974359,2,27,156,55
"D  DUSSELD03",21,2177.1472,35.68,7.01666666666667,3,22,75,34
"D  DUSSELD06",21.5,1134.17,27.6666666666667,6.16666666666667,2,2,6,6
"D  EBERSWA1",23.5,1961.04125,29.25,5.9375,2,3,8,5
"D  EICHSTA01",21.5,1623.24820512821,33.8205128205128,6.16987179487179,2,19,78,38
"D  ELMSHOR01",21,740.833333333333,24.8333333333333,4.45833333333333,2,2,6,4
"D  EMDEN02",21,1459.29513513514,32.8648648648649,5.72972972972973,2,14,37,17
"D  ERDING01",38,1283.805,30,4.5,1,1,1,1
"D  ERFURT03",23,1512.30769230769,24.7692307692308,5.23076923076923,1,5,13,6
"D  ERFURT05",21,2284.846,38.4666666666667,7.46666666666667,2,11,45,23
"D  ERLANGE01",22,1759.52792929293,37.8080808080808,7.22727272727273,2,39,198,83
"D  ERLANGE02",20,1281.66666666667,38.9444444444444,7.61111111111111,1,3,18,7
"D  ESSEN02",22,1709.06666666667,35.9333333333333,7.05,2,7,15,12
"D  ESSEN03",21,1873.33333333333,69,5.33333333333333,2,2,3,2
"D  ESSEN04",22,1899.76398648649,34.9189189189189,6.48141891891892,3,33,148,63
"D  ESSLING03",23,1499.58125,24.275,5.63125,2,11,40,12
"D  FLENSBU01",22,2414.6,38.85,6.85,2,8,20,9
"D  FLENSBU02",21,1682.03947368421,41.2631578947368,7.93421052631579,2,7,19,8
"D  FRANKFU01",21,1862.21229508197,34.8196721311475,6.91120218579235,3,33,183,80
"D  FRANKFU02",22.5,2181.33333333333,47,7.33333333333333,2,1,6,6
"D  FRANKFU03",25,1120,20,5.66666666666667,2,3,3,3
"D  FRANKFU04",21,1743.05980582524,33.1165048543689,6.92233009708738,3,25,103,35
"D  FRANKFU07",22,1259.4068,45,7,2,3,25,13
"D  FRANKFU08",22,2042.11882629108,36.3474178403756,6.57042253521127,3,26,213,70
"D  FREIBER01",23,2279.87023809524,35.7380952380952,7.75,2,16,42,28
"D  FREIBUR01",22,1800.44912181303,35.3229461756374,7.34490084985836,3,46,353,138
"D  FREIBUR02",21,1732.19680851064,33.4042553191489,6.5531914893617,2,14,47,27
"D  FREIBUR03",25,1099.1,34,5.1,3,2,5,5
"D  FREIBUR04",23,660,15,5,1,1,1,1
"D  FREIBUR05",21.5,2453.90625,35.25,6.28125,2,5,8,5
"D  FREISIN01",21,1708.74583333333,32.5833333333333,5.20833333333333,2,4,12,6
"D  FRIEDRI01",22.5,1274.19642857143,38.5714285714286,6.44642857142857,2,8,14,8
"D  FULDA01",22,1248.46739130435,31.9130434782609,5.14130434782609,2,12,23,10
"D  FURTWAN01",22,1623.86111111111,27.8333333333333,5.61111111111111,2,11,54,21
"D  GELSENK01",21,1900.83333333333,20.3333333333333,6.16666666666667,1,2,3,2
"D  GELSENK02",21,1941.86476190476,31.9047619047619,5.63095238095238,2,9,21,9
"D  GIESSEN01",22,2041.85985507246,33.731884057971,6.91123188405797,3,33,138,62
"D  GIESSEN02",22,2220.89428571429,38.0285714285714,7.49285714285714,2,16,35,17
"D  GOTTING01",22,1721.29744755245,34.527972027972,6.70541958041958,3,44,286,121
"D  GOTTING02",21,1371.875,46.5,8.4375,2,2,4,3
"D  GREIFS01",22,2124.42481012658,38.3544303797468,6.92405063291139,3,23,79,39
"D  HALLE01",22,2192.70243589744,37.3589743589744,7.41666666666667,3,25,78,37
"D  HALLE03",24,1647.99565217391,38.1739130434783,6.08695652173913,2,4,23,15
"D  HAMBURG01",22,1755.04333333333,38.0902777777778,7.13107638888889,3,37,288,112
"D  HAMBURG03",23,1780.93077777778,37.7222222222222,7.70833333333333,2,17,90,29
"D  HAMBURG04",24,1574.96590909091,37.6818181818182,6.96590909090909,2,4,22,16
"D  HAMBURG05",22,2066.63888888889,36.7777777777778,7.33333333333333,3,3,9,8
"D  HAMBURG06",22,1621.8587,37.38,6.47,2,29,100,44
"D  HAMBURG08",23,2016.84384615385,31.3076923076923,5.92307692307692,2,10,13,9
"D  HAMBURG10",21,1290.4832,29.12,4.36,2,3,25,12
"D  HAMBURG11",25,1258,30,5,1,1,1,1
"D  HAMBURG12",23,1990.1647761194,38.5223880597015,8.19402985074627,2,6,67,36
"D  HAMBURG13",21,902.003333333333,18.6666666666667,4.66666666666667,2,2,3,3
"D  HAMBURG14",21,1276.5,20.3333333333333,4.80555555555556,2,3,9,5
"D  HANNOVE01",22,1842.60418367347,32.484693877551,6.7640306122449,2,45,196,93
"D  HANNOVE02",23,2119.202,43.4,8.2,2,2,5,5
"D  HANNOVE03",22,2528.31818181818,49.7272727272727,8.79545454545454,1,3,11,8
"D  HANNOVE04",23,1849.86666666667,40.2666666666667,6.1,2,2,15,12
"D  HANNOVE05",21,1949.17921875,32.84375,6.265625,2,11,32,16
"D  HEIDE01",21,3746.25,45,10.125,1,1,2,1
"D  HEIDELB01",21,1936.98462585034,37.421768707483,7.5640589569161,3,40,441,152
"D  HEIDELB02",22,2029.29413793103,34.3448275862069,5.64655172413793,2,8,29,8
"D  HEIDELB05",21,2499.68695652174,40.2608695652174,6.81521739130435,2,10,23,12
"D  HEIDENH02",23.5,878.75,15,2.875,2,1,2,2
"D  HEILBRO01",21,1927.13172043011,37.8817204301075,7.4758064516129,2,14,93,36
"D  HILDESH01",21,1639.05341176471,41.5411764705882,7.32647058823529,3,18,85,36
"D  HILDESH02",22,1637.48684210526,38.5,6.20394736842105,2,11,38,19
"D  HOF01",22,1075.42857142857,25.4285714285714,4.92857142857143,1,3,7,5
"D  ILMENAU01",22,1888.18103448276,28.5172413793103,7.5948275862069,3,11,29,11
"D  INGOLST01",22,1993.125,35.1071428571429,6.41964285714286,3,11,28,13
"D  ISERLOH01",22,2127.04363636364,34.6363636363636,6.92045454545455,2,9,22,6
"D  ISERLOH02",19,795.168947368421,28.6315789473684,4.26315789473684,2,5,19,4
"D  JENA01",22,1722.21195266272,35.5443786982249,6.72337278106509,3,32,169,81
"D  JENA02",22,1819.53125,17.6875,5.546875,2,9,16,5
"D  KAISERS01",22,2350.10841269841,40.1587301587302,8.40476190476191,2,23,63,31
"D  KAISERS02",22,1742.54545454545,28,5.15909090909091,2,3,11,7
"D  KARLSRU01",22,1842.32434146341,37.3170731707317,8.15731707317073,2,28,205,69
"D  KARLSRU02",21,1698.61111111111,27.9444444444444,5.05555555555556,2,5,18,10
"D  KARLSRU03",22.5,1462.528,37.4,6.225,2,1,10,8
"D  KARLSRU04",22,824.722222222222,25.8888888888889,3.41666666666667,2,2,9,6
"D  KARLSRU05",22,1123.06481481481,28.9074074074074,6.13888888888889,2,12,54,23
"D  KARLSRU06",22.5,1332.29166666667,26.3333333333333,5.58333333333333,2,3,6,6
"D  KARLSRU07",22,3138,33.6,6.05,2,3,5,3
"D  KARLSRU08",21,1390.7284137931,33.9310344827586,4.97413793103448,2,11,29,16
"D  KASSEL01",22,1834.14194968553,35.937106918239,6.60220125786164,2,31,159,66
"D  KEMPTEN01",22,1447.05882352941,29.8235294117647,6.875,2,6,34,12
"D  KEMPTEN02",21.5,1526.8,41.8,6.2,2,4,10,3
"D  KIEL01",21.5,1645.68921875,37.203125,6.79296875,2,23,64,42
"D  KIEL03",22,1488.34972972973,40.0810810810811,6.75675675675676,3,14,37,18
"D  KIEL05",22.5,1410.42307692308,36.5,6.00961538461539,2,5,26,16
"D  KLEVE01",20,1355,28,4.6,1,2,5,3
"D  KOBLENZ01",21,1617.63888888889,30.4444444444444,5.59259259259259,2,12,27,19
"D  KOBLENZ02",22,1489.77090909091,30.0909090909091,6.04545454545455,2,14,33,20
"D  KOBLENZ03",22,1155.65185185185,30.1481481481481,4.79166666666667,2,7,54,27
"D  KOELN 03",24,1784.58666666667,43.3333333333333,7.625,2,2,12,11
"D  KOLN01",22,1735.81703016241,34.3526682134571,6.52784222737819,2,46,431,141
"D  KOLN02",22,1636.15131578947,38.2894736842105,6.27631578947368,2,5,38,13
"D  KOLN04",21,1588.30941798942,38.6507936507937,7.3531746031746,3,28,189,71
"D  KOLN05",24,2445.854,34.8,5.85,2,4,5,4
"D  KOLN07",25,750,40,5,1,2,3,2
"D  KOLN12",21,1219.49583333333,33.8666666666667,5.525,2,9,60,23
"D  KONSTAN01",21,2174.09415841584,38.1831683168317,7.35148514851485,2,26,202,85
"D  KONSTAN02",22,2013.5965625,42.0625,7.25,2,12,32,12
"D  KOTHEN01",22,2093.93,39.6363636363636,7.07954545454545,2,6,22,10
"D  KREFELD01",22,1821.08326923077,31.7884615384615,5.88461538461539,2,20,52,27
"D  LANDSHU01",22,1102.5,40,7.61111111111111,1,3,9,2
"D  LEIPZIG01",21,1818.84342431762,38.7344913151365,7.25310173697271,3,43,403,163
"D  LEIPZIG02",22,2314.25419354839,43.2258064516129,8.12096774193548,2,13,31,13
"D  LEIPZIG04",23,1107.02074074074,27.4074074074074,4.61111111111111,2,5,27,18
"D  LEIPZIG05",25,1794.50371428571,37.0285714285714,7.08571428571429,3,2,35,28
"D  LEIPZIG09",24,875.193333333333,29.0952380952381,5.01190476190476,2,4,21,13
"D  LEIPZIG10",23.5,1010,30,6.5,1,2,2,2
"D  LEMGO01",23,1027.8925,27.25,5.25,2,6,24,6
"D  LORRACH01",22,1150,21,4.66666666666667,2,3,3,3
"D  LUBECK01",23,2129.7695,38.95,7.2625,2,4,20,13
"D  LUBECK02",22,1948.61111111111,34.8888888888889,5.27777777777778,2,2,9,5
"D  LUBECK03",21,1376.45,30,5.5,1,2,3,2
"D  LUDWIGB01",22,1580.33441176471,36.5294117647059,6.30882352941176,2,11,34,19
"D  LUDWIGB03",21.5,1750,21,5,1,1,2,1
"D  LUDWIGH01",22,1885.21151515152,39.3636363636364,5.39393939393939,2,10,33,15
"D  LUNEBUR01",21,1958.08925,29.825,6.9,2,16,40,19
"D  MAGDEBU01",22,2082.91144736842,34.8026315789474,6.34210526315789,2,23,76,32
"D  MAGDEBU04",21,1174.47576923077,35.6730769230769,6.42788461538461,2,9,52,23
"D  MAINZ01",22,1884.41749253731,37.2059701492537,7.2455223880597,5,40,335,109
"D  MAINZ05",20,1700,15,4,1,1,1,1
"D  MAINZ08",21,1620.30415584416,34.9480519480519,6.47727272727273,2,15,77,33
"D  MANNHEI01",22,1562.13502923977,35.3508771929825,6.11476608187134,3,26,342,107
