"HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES"
"D  RAVENSB02",21.5,2169.96071428571,54.7857142857143,7.39285714285714,3,5,14,5
"D  REGENSB01",22,1951.86527896996,41.4420600858369,7.38733905579399,3,37,233,83
"D  REGENSB02",21,1791.21264367816,34.4137931034483,7.4051724137931,2,22,87,30
"D  REGENSB03",20,1469.44333333333,19,5.33333333333333,2,1,3,2
"D  REUTLIN02",21,1628.43327044025,44.8993710691824,7.30817610062893,3,14,159,34
"D  REUTLIN03",22,1897.25,33.2,5.25,2,3,5,3
"D  RIESA01",23,1710,17,4.75,1,1,1,1
"D  ROSENHE01",22,1302.59259259259,31.2222222222222,6.01851851851852,2,11,27,13
"D  ROSTOCK01",22,2164.50984848485,36.9242424242424,6.88636363636364,2,25,66,34
"D  ROSTOCK02",22,1767.375,25.75,6.4375,2,1,8,6
"D  ROTTENB01",23.5,2276.05,42.5,9,2,1,2,2
"D  SAARBRU01",21,1698.20255813953,40.3895348837209,7.48110465116279,2,23,172,69
"D  SAARBRU03",22.5,1640.22222222222,31.8888888888889,6.55555555555556,2,8,18,8
"D  SAARBRU07",21,2008.11111111111,44.2222222222222,6.08333333333333,2,4,9,5
"D  SCHMALK01",22,1970.1313559322,37.1186440677966,6.15677966101695,2,13,59,17
"D  SCHWA-G02",23,1452.63,28.8,5.15,3,4,25,15
"D  SCHWAG01",21.5,2209.765625,38.9375,6.5,2,4,16,7
"D  SENFTEN01",23,1571.5,55.35,7.425,1,4,20,6
"D  SIEGEN01",22,2053.33673469388,37.4285714285714,7.04081632653061,2,16,49,29
"D  SIGMARI01",23,1427.5,32.0909090909091,5.36363636363636,2,6,11,6
"D  ST-AUGU02",21,2005,60,11.0416666666667,2,3,6,3
"D  STRALSU01",22,1392.65306122449,38.8775510204082,6.82142857142857,2,10,49,14
"D  STUTTGA01",22,1892.58651515152,40.0227272727273,8.0842803030303,2,31,264,98
"D  STUTTGA02",23,1621.11776470588,35.8352941176471,6.71764705882353,2,21,85,40
"D  STUTTGA03",22,1623.00235294118,36.2941176470588,6.60294117647059,2,3,17,14
"D  STUTTGA04",23,1633.55882352941,43.0588235294118,6.54411764705882,2,6,17,13
"D  STUTTGA05",23,1817.796875,40.0208333333333,7.328125,2,11,48,18
"D  STUTTGA06",22,1701.71195652174,38.3260869565217,7.53260869565217,2,14,46,20
"D  STUTTGA10",22,595.833333333333,25,4.58333333333333,2,2,3,2
"D  TRIER01",21,2109.1250862069,43.948275862069,7.7176724137931,2,19,116,55
"D  TRIER02",22,1402.43184210526,36.6052631578947,6.56578947368421,2,14,38,22
"D  TRIER03",21,1593.75,30,3.75,1,1,1,1
"D  TROSSIN01",23,1871.59090909091,34.9090909090909,6.93181818181818,2,3,11,10
"D  TUBINGE01",22,1774.0058,35.1,6.99833333333333,3,38,300,119
"D  ULM01",23,1720.52,30.6666666666667,7,3,17,42,28
"D  ULM02",23,1599.57894736842,26.1052631578947,5.21052631578947,2,7,19,8
"D  ULM03",22,1572.10326530612,34.6326530612245,6.62755102040816,2,9,49,18
"D  VECHTA02",22.5,3318.5,60,8.5,1,2,2,2
"D  VILLING02",21,1392.88857142857,34.5714285714286,7.64285714285714,2,3,7,5
"D  WEDEL01",24,1000,22,5,1,1,1,1
"D  WEIMAR01",23,2040.43617283951,38.3950617283951,7.33950617283951,3,11,81,46
"D  WEIMAR02",22,1928.1155,33.35,5.8875,2,3,20,18
"D  WEINGAR01",21,3349.835,39.6666666666667,7.95,2,5,15,8
"D  WERNIGE01",21,1195.57138888889,29.8055555555556,5.49305555555556,2,11,36,14
"D  WIESBAD01",22,1298.73718309859,33.2253521126761,6.23943661971831,3,19,71,28
"D  WILDAU01",21,1095.25125,21.125,4.515625,2,7,16,7
"D  WILHELM02",22,2397.10066666667,42.7333333333333,7.54166666666667,2,12,30,18
"D  WISMAR01",21,1944.15977272727,36.1363636363636,7.14204545454545,3,9,44,15
"D  WITTEN02",22.5,1373.75,33.8333333333333,6.25,2,4,6,4
"D  WOLFENB01",22,2523.07142857143,43.7857142857143,7.64285714285714,3,7,14,9
"D  WORMS01",21,2244.69981132075,36.7547169811321,7.30188679245283,2,16,53,20
"D  WUPPERT01",21,1710.45019607843,36.8627450980392,6.49509803921569,2,13,51,25
"D  WURZBUR01",22,1897.93146892655,38.5310734463277,7.79802259887006,4,34,177,76
"D  WURZBUR02",23.5,1212.5,43.75,7.5,1,2,4,3
"D  WURZBUR03",22,1546.1340625,29,6.5078125,2,15,32,16
"D  XX",22,1892.82142857143,31.7142857142857,6.32142857142857,2,5,7,4
"D  ZITTAU01",22,2222.09615384615,35.0769230769231,6.49358974358974,2,10,39,17
"D  ZWICKAU01",22,1612.24137931034,42.8965517241379,7.37068965517241,2,11,29,13
"DK ALBORG01",23,1390.73277456647,31.9364161849711,6.04768786127168,3,36,173,94
"DK ALBORG02",21,1140.49726027397,25.8356164383562,4.39041095890411,3,20,73,35
"DK ALBORG03",21,1133.57,20,3,1,1,1,1
"DK ARHUS01",22,1595.91248641304,31.6413043478261,5.94938858695652,6,69,736,253
"DK ARHUS04",22.5,1592.937,37.875,6.61875,2,6,40,20
"DK ARHUS05",23,3027.31333333333,43.8888888888889,8.72222222222222,2,2,9,9
"DK ARHUS10",22,1515.80583333333,34.7777777777778,5.54861111111111,2,6,36,18
"DK ARHUS26",21,1235.801,27.45,4.925,2,8,20,11
"DK ARHUS28",21,832.5,30,4.5,1,1,2,1
"DK ESBJERG18",22,1674.3968,28.64,4.3,1,9,25,12
"DK ESBJERG19",20,935.538958333333,32.0416666666667,3.796875,2,11,48,19
"DK FREDERI09",23,1000,30,5,1,1,1,1
"DK HERNING01",21.5,1210,30,5.5,1,1,2,1
"DK HERNING08",24,1613.75,24.25,4,2,2,4,2
"DK KOBENHA01",22,1739.49919129082,35.1306376360809,6.46500777604977,5,61,643,181
"DK KOBENHA05",22,1320.14718676123,30.9243498817967,5.2434988179669,3,20,423,128
"DK KOBENHA06",24,1487.5116,36.08,6.76,2,5,25,16
"DK KOBENHA14",22,1397.31260204082,32.1479591836735,5.13392857142857,3,26,196,63
"DK KOBENHA32",20,2001.49727272727,36.5454545454545,7.18181818181818,2,6,11,7
"DK KOBENHA38",25,862.95,28.3333333333333,6.33333333333333,2,3,6,6
"DK KOBENHA39",25,1215.625,30,4.625,2,1,4,3
"DK KOBENHA52",23,1480.58,26,6.5,1,1,4,2
"DK KOBENHA54",21,1410,22.5,4,1,2,4,2
"DK KOBENHA55",22,1225.8704494382,28.438202247191,4.71910112359551,2,17,89,38
"DK KOBENHA56",21,945.840684931507,28.1780821917808,4.08561643835616,3,13,73,32
"DK KOBENHA57",21,1348.6862195122,30.1707317073171,5.70426829268293,1,13,82,34
"DK Kobenha58",23,1000.65,23,5,1,1,1,1
"DK KOBENHA58",21,1821.6323880597,31.2238805970149,5.47388059701493,3,11,67,21
"DK KOGE03",21,3018.916,32,5.31666666666667,1,6,15,8
"DK KOLDING07",23,1018.84294117647,32.7058823529412,4.55882352941176,1,7,17,14
"DK KOLDING10",21,2843.08722222222,42.537037037037,6.63425925925926,3,10,54,22
"DK Kopenha10",30,1000.65,23,5,1,1,3,1
"DK KOPENHA10",24.5,1275,27.5,5,1,3,4,3
"DK KOPENHA26",23,1513.26315789474,31.5789473684211,5.73684210526316,2,5,19,13
"DK KOPENHA37",28,2002.005,45,8.25,1,4,4,4
"DK LYNGBY01",22,1557.26412177986,31.6042154566745,6.12412177985949,5,37,427,118
"DK LYNGBY04",22,1580.75428571429,39.2857142857143,5.89285714285714,1,7,7,5
"DK ODENSE01",22,1715.47088235294,33.8897058823529,6.07352941176471,4,59,544,195
"DK ODENSE10",20,1907.43756756757,32.0540540540541,5.25,1,13,37,18
"DK ODENSE16",22,2016.66666666667,23.3333333333333,3.66666666666667,2,1,3,2
"DK ODENSE21",21,2016.7,27,4.4,1,5,10,5
"DK RANDERS02",23,1787.3,27.8571428571429,4.71428571428571,2,6,7,5
"DK RISSKOV06",21,1782.69439086294,35.502538071066,6.39689086294416,4,50,788,166
"DK ROSKILD01",21,1557.44910569106,34.2113821138211,6.14024390243902,2,29,123,63
"DK SORO02",21,1772.38098765432,31.3333333333333,4.92283950617284,2,17,81,36
"DK VEJLE06",21,1582.68488888889,30.3444444444444,4.26666666666667,3,18,90,39
"DK xx",30,552.5,24,4.25,1,1,2,1
"DK XX",22,2227.955,31.14,5.585,2,20,50,18
"E  ALBACET01",21,1570.2,19.2,4.9,2,5,5,4
"E  ALCAL-H01",22,1836.00390052356,36.3874345549738,6.78010471204188,6,42,382,152
"e  alicant01",20,1100,34,5,2,1,3,1
"E  ALICANT01",21,1530.68297931034,30.9062068965517,5.91172413793103,4,56,725,234
"E  ALICANT02",26,920,40,4,1,1,1,1
"E  ALICANT11",21,3856,46,6.875,1,1,2,1
"E  ALICANT12",21.5,2004,30,4.375,1,1,2,1
"E  ALICANT27",23.5,2137.5,19,4.75,1,1,2,1
"E  ALMERIA01",22,1783.2196039604,34.0123762376238,6.68316831683168,4,46,404,125
"E  ALMERIA03",22,2300,51,10,1,1,1,1
"E  AVILA01",22,1299.48,35.2,5.3,2,6,15,10
"E  AVILES02",22,1358.33333333333,32,5,2,2,3,3
"E  BADAJOZ01",22,1637.67150485437,33.9417475728155,6.42233009708738,4,33,206,82
"E  BADAJOZ02",21.5,2775,45,7.5,1,2,2,1
"E  BADAJOZ06",24.5,2300,57,10,1,1,2,1
"E  BADAJOZ29",22,1675.45,35,10.5,1,1,1,1
"E  BARCELO01",22,1574.29327202323,29.4356243949661,6.15464666021297,6,73,1033,301
"E  BARCELO02",22,1530.31141656663,29.0144057623049,6.0813325330132,5,66,833,266
"E  BARCELO03",22,1593.56713030747,30.1786237188873,6.05673499267936,5,50,683,198
"E  BARCELO101",23,1245,30,5,1,1,1,1
"E  BARCELO102",21.5,1476.83333333333,28,4.58333333333333,2,4,6,5
"E  BARCELO103",23,1971,30,4.5,1,1,1,1
"E  BARCELO106",23,997.5,24,4.75,1,1,1,1
"E  BARCELO11",19,1262.58,20,4,1,1,1,1
"E  BARCELO111",20,1757.5,60,4.75,1,1,1,1
"E  BARCELO15",21,1593.33079439252,28.0654205607477,5.94392523364486,4,33,428,153
"E  BARCELO16",22,1435.82104938272,31.9876543209877,5.37422839506173,3,38,324,97
"E  BARCELO22",21,1456.28608695652,25.4347826086957,4.15217391304348,3,2,23,8
"E  BARCELO24",22,1761.82587155963,36.0642201834862,6.69495412844037,3,23,109,43
"E  BARCELO29",23,1863.78307692308,25.9230769230769,7.23076923076923,3,2,13,13
"E  BARCELO30",28,1841.004,34.4,5.6,2,2,5,4
"E  BARCELO31",22,1340.575,27.8166666666667,5.43333333333333,2,16,60,29
"E  BARCELO32",21,1491.16666666667,24.1666666666667,5.08333333333333,2,3,6,5
"E  BARCELO33",29,1150,10,5,1,1,1,1
"E  BARCELO36",26,2000,40,5,1,1,1,1
"E  BARCELO52",19,832.5,23.3333333333333,4.5,1,1,3,1
"E  BARCELO55",22,1655,30,5,1,1,1,1
"E  BARCELO69",23,1047.5,25,4.375,1,1,4,3
"E  BARCELO85",22,0,30,4.25,1,1,1,1
"E  BENLAMA01",21,1840,60,8,1,1,1,1
"E  BILBAO01",22,1563.78812765957,34.6468085106383,6.34095744680851,3,64,470,182
"E  BILBAO02",22,1425.85958174905,30.8098859315589,5.19391634980989,2,39,263,115
"E  BILBAO19",20,2214.72222222222,60,8.83333333333333,2,2,9,2
"E  BILBAO47",20.5,3191.25,60,8.625,1,2,2,1
"E  BURGOS01",22,1686.03412698413,30.4603174603175,6.17460317460317,2,20,63,34
"E  BURGOS11",21.5,1728.625,35.25,5.8125,2,2,4,3
"E  CADIZ01",22,1574.05312903226,32.0451612903226,6.35604838709677,6,62,620,190
"E  CADIZ03",23,801.01,20,3,1,1,1,1
"E  CARTAGE01",22,1757.5,60,9.5,1,1,1,1
"E  CASTELL01",21,1469.89033112583,27.5629139072848,5.79635761589404,3,35,151,71
"E  CASTELL04",22,2163,30,5,3,3,3,2
"E  CASTELL08",21,1444.86142857143,32.4285714285714,5.71428571428571,2,3,14,7
"E  CASTELL13",23.5,920,26,4,1,1,4,1
"E  CIUDA-R01",22,1882.91319277108,32.7349397590361,6.13704819277108,3,45,332,121
"E  CIUDA-R02",20,1655,32,5,1,1,2,1
"E  CIUDA-R05",22,1500,15.3333333333333,3.5,1,1,3,1
"E  CORDOBA01",22,1729.03115646258,35.358843537415,6.78103741496599,6,58,588,180
"E  CORDOBA04",24,1319.59333333333,10,5.33333333333333,1,2,3,3
"E  CORDOBA23",22,1736.07636363636,30.1818181818182,5.5,2,4,11,4
"E  CUENCA01",27,1861.5,30,4.25,1,1,1,1
"E  ELCHE01",23,1751.6082320442,32.5524861878453,6.62707182320442,2,36,181,75
"E  GIRONA02",22,1740.53944444444,33.4197530864198,6.07407407407407,3,37,162,58
"E  GRANADA01",22,1770.95894677871,33.7675070028011,6.90070028011205,5,77,1785,422
"E  GRANADA04",23,2836.98,43.2222222222222,7.55555555555556,2,3,9,9
"E  GRANADA05",24,698.333333333333,18,3,1,1,3,1
"E  GRANADA10",23,690,26,5,1,1,1,1
"E  HUELVA01",22,1645.63173076923,31.2442307692308,5.87451923076923,3,55,520,162
"E  HUELVA02",22.5,1896.5,35.5,4.875,2,2,2,2
"E  JAEN01",22,1543.3277170418,27.9742765273312,5.63102893890675,3,47,311,119
"E  JAEN07",19,920,0,4,1,1,1,1
"E  LA-CORU01",22,1844.93510729614,33.5450643776824,6.82296137339056,4,34,233,75
"E  LA-CORU03",23.5,2797.875,45,7.8125,2,2,4,2
"E  LA-CORU05",22,1245,30,5,1,1,1,1
"E  LAS-PAL01",22,1561.82054347826,31.0108695652174,6.3804347826087,3,50,552,177
"E  LAS-PAL18",23,1609.2,40.2,6.4,2,2,10,7
"E  LEON01",21,1569.40913978495,30.8655913978495,6.42069892473118,3,30,186,78
"E  LLEIDA01",22,1673.34061403509,29.9824561403509,6.28070175438596,4,31,114,47
"E  LOGRONO01",22,1327.27567567568,29,5.30405405405405,3,9,37,20
"E  LOGRONO03",22,2427.7275,44.5357142857143,6.14285714285714,3,3,28,14
"E  MADRID01",22,1503.7,23.6666666666667,6.1,2,10,15,12
"E  MADRID02",21,1659.59266149871,39.4366925064599,6.7235142118863,3,33,387,109
"E  Madrid03",26,1800,30,6,1,1,1,1
"E  MADRID03",22,1712.9585380117,31.1254061078622,6.74041585445094,6,79,1539,375
"E  MADRID04",22,1548.03969770254,31.9141475211608,6.42140266021765,4,47,827,219
"E  MADRID05",23,1622.2989261745,33.2734899328859,6.72315436241611,3,47,596,189
"E  MADRID102",21,1971,35,4.5,1,1,1,1
"E  MADRID103",21,2583.2,36.2,5.5,3,4,5,4
"E  MADRID104",21.5,1916.25,30,4.375,1,2,2,1
"E  MADRID106",21,1931.504,28.8,5.75,2,3,5,4
"E  MADRID112",22.5,1650,26,7.5,2,1,2,2
"E  MADRID114",21,1370.21414414414,37.4774774774775,5.07432432432432,2,9,111,32
"E  MADRID117",21,2664.5,41,6.08333333333333,2,2,3,2
"E  MADRID118",22,1876,30,4,1,2,2,2
"E  MADRID12",21,1901.29211267606,36.3098591549296,5.75352112676056,2,16,71,22
"E  MADRID126",22.5,1206.5,30.5,3.75,1,2,2,2
"E  MADRID14",22,1540.50192145863,28.6605890603086,5.81451612903226,5,42,713,193
"E  MADRID144",24,1239,20,4,1,1,1,1
"E  MADRID153",21.5,1883.125,31.5,6.5625,2,3,4,3
"E  MADRID17",22,1510.43903846154,35.3653846153846,5.92067307692308,2,21,104,42
"E  MADRID18",21,1584.66865934066,32.6945054945055,5.52142857142857,4,54,455,106
"E  MADRID19",21,1767.2085,33.1,6.925,3,3,20,10
"E  MADRID21",22,1435.70052631579,31.2074303405573,5.91176470588235,4,35,323,98
"E  MADRID25",20,1971,30,4.5,1,1,2,1
"E  MADRID26",21,1265.07295555556,32.9088888888889,5.29444444444444,3,42,450,142
"E  MADRID27",25,1298.16666666667,37.3333333333333,5.83333333333333,2,1,3,3
"E  MADRID28",21,1282.33258333333,32.6333333333333,5.39375,2,24,120,41
"E  MADRID33",22,1955.14672727273,38.6363636363636,6.20454545454545,2,15,55,18
"E  MADRID53",20.5,1200,30,4,1,1,2,1
"E  MADRID57",26,1150,30,5,1,1,1,1
"E  MADRID94",19,555,17,3,1,1,1,1
"E  MADRID99",27,810,20,4.5,1,1,1,1
"E  MALAGA01",22,1777.56570188133,32.1432706222865,6.64254703328509,7,62,691,225
"E  MALAGA02",21,1999.654,26.6,6.45,1,2,5,5
"E  MALAGA03",23,1335.12,24,6,1,1,1,1
"E  MALAGA07",21,4200,60,10,1,1,1,1
"E  MALAGA21",20,1255.33333333333,31,4.66666666666667,1,1,3,1
"E  MATARO01",21,1382.5,23.4444444444444,4.80555555555556,2,4,9,4
"E  MONDRAG01",22,1936.30548387097,28.8064516129032,4.91129032258065,2,11,31,13
"E  MONDRAG02",23,1800,44,4.5,1,1,1,1
"E  MURCIA01",22,1828.61703319502,35.1867219917012,6.73703319502075,4,58,482,170
"E  MURCIA04",22,2062.96992,36.24,6.614,2,29,125,57
"E  MURCIA05",22,1462.06081632653,30.6632653061224,6.03316326530612,2,20,98,34
"E  MURCIA06",20,920,16,4.5,1,1,2,1
"E  MURCIA25",21,1437.7,28.2,4.8,1,1,5,2
"E  OVIEDO01",22,1665.42621848739,31.4936974789916,6.05567226890756,3,51,476,174
"E  OVIEDO05",21,1380,12,9,1,1,1,1
"E  OVIEDO15",24,2521.5,40,5.91666666666667,2,3,3,3
"E  PALMA01",22,1550.22671328671,27.6293706293706,5.72902097902098,4,32,143,71
"E  PALMA07",20,0,60,10,1,1,1,1
"E  PALMA17",22,1660.61153846154,31.5384615384615,4.78846153846154,1,3,13,5
"E  PALMA25",23.5,2047,30,4.5,1,1,2,1
"E  PAMPLON01",22,1494.24746835443,28.379746835443,5.52215189873418,2,29,158,79
"E  PAMPLON02",22,1385.90013888889,33.875,6.23958333333333,2,17,72,35
"E  PONTEVE02",21,480,0,3,1,1,2,1
"E  SALAMAN01",21,1395.69674698795,28.9638554216867,5.7289156626506,2,23,83,42
"E  SALAMAN02",21,1626.01817502668,32.0224119530416,6.50240128068303,6,61,937,284
"E  SALAMAN03",21,1979.738,33.6,6.4,2,3,5,5
"E  SAN-SEB01",24,1638.56,22.6,5.2,1,4,5,4
"E  SAN-SEB02",21,980,20,4,1,1,5,1
"E  SAN-SEB03",27,1000,30,5,1,1,1,1
"E  SAN-SEB33",20,1971,30,4.5,1,1,1,1
"E  SANTAND01",22,1490.4043359375,30.02734375,6.2236328125,2,40,256,92
"E  SANTAND03",21,1500,20,3,1,1,1,1
"E  SANTAND17",23,1870,18,5,1,1,1,1
"E  SANTIAG01",22,1821.18452241715,32.2962962962963,6.7948343079922,5,50,513,178
"E  SANTIAG02",21,1282,30,4.75,1,1,1,1
"E  SEGOVIA01",21,1301.2297826087,33.5217391304348,5.48913043478261,2,16,46,20
"E  SEGOVIA08",20,1480,30,4,1,1,1,1
"E  SEVILLA01",22,1675.40490694789,33.9044665012407,6.95595533498759,7,78,1612,340
"E  SEVILLA03",21,1542.70064066852,32.5654596100279,6.6441504178273,4,37,359,136
"E  SEVILLA04",23,1156.38125,25.125,5.8125,2,2,8,7
"E  SEVILLA06",28,2803.5,27,9,1,1,2,2
"E  TARRAGO01",22,1813.64936507936,36.7989417989418,6.56613756613757,4,38,189,73
"E  TENERIF01",23,1582.58393939394,29.4006734006734,6.6489898989899,3,52,297,111
"E  TENERIF02",21,2300,40,10,1,1,1,1
"E  TENERIF13",21,1800,18,3,1,1,1,1
"E  TENERIF14",25,1250,30,5,1,1,1,1
"E  VALDES01",23,1580.66666666667,28,6,2,2,3,2
"E  VALDES02",21.5,1542.4375,28.25,4.5625,2,4,4,4
"E  VALENCI01",22,1725.32045977011,32.5293405928615,6.69888082274652,10,77,1653,324
"E  VALENCI02",22,1757.759890625,33.659375,6.337109375,3,68,1280,342
"E  VALENCI08",21,1733.08145299145,32.8461538461538,6.76709401709402,2,23,117,47
"E  VALENCI11",22,1376.1599137931,30.301724137931,5.74784482758621,2,24,116,34
"E  VALENCI13",22,1420.81853658537,31.9756097560976,6.04268292682927,2,7,41,24
"E  VALENCI16",21.5,1310,53.25,8,2,3,8,4
"E  VALENCI25",22,3613.5,60,8.25,1,1,1,1
"E  VALENCI40",21,2693.96,60,9,1,1,1,1
"E  VALENCI42",23,1050,25,3.5,2,1,2,1
"E  VALENCI67",23,1946.659,34.6,5.95,2,2,10,8
"E  VALENCI79",19,2750,30,5.5,1,1,2,1
"E  VALLADO01",22,1515.75917372881,31.8050847457627,6.31991525423729,4,48,472,165
"E  VALLADO03",21,1562.12096774194,26.5483870967742,5.73387096774194,2,9,31,16
"E  VALLADO10",25.5,1380,60,6,1,1,2,1
"E  VIC01",21,1478.97915492958,35.1267605633803,5.42253521126761,3,20,71,34
"E  VIGO01",22,1565.68885304659,30.2401433691756,5.40770609318996,3,42,279,119
"E  VIGO03",21.5,1768.195,27,4.375,2,1,4,3
"E  VIGO08",21.5,1916.25,32.5,4.375,1,1,2,1
"E  XX",21,2387.5,23.375,6.09375,2,3,8,4
"E  ZAMORA08",22,1671.30125,30.75,5.125,2,4,8,7
"E  ZARAGOZ01",22,1555.64533733133,31.9715142428786,6.20539730134933,5,64,667,232
"E  ZARAGOZ05",24,1846.66666666667,27.6666666666667,6,1,2,3,3
"E  ZARAGOZ07",22,1465.90538461538,30.0384615384615,5.10576923076923,2,12,26,17
"E  ZARAGOZ27",20,3885.5,42,9.5,1,1,1,1
"EE TALLINN01",22,1278.6866,29.16,5.065,3,13,50,38
"EE TALLINN02",22,1257.10275362319,31.6231884057971,5.57246376811594,3,10,69,30
"EE TALLINN03",22,1321.73,24.8461538461538,4.95512820512821,3,6,39,22
"EE TALLINN04",23,1133.04604255319,26.8510638297872,5.15531914893617,5,39,235,102
"EE TALLINN05",22,1354.37166007905,33.3557312252964,5.84189723320158,3,36,253,116
"EE TALLINN06",22,1409.88838709677,31.8387096774194,4.87096774193548,2,10,31,12
"EE TALLINN10",21,1579.84615384615,29.6153846153846,4.46153846153846,1,3,13,4
"EE TALLINN12",21,1135.08333333333,31.5,4.875,1,1,6,4
"EE TALLINN13",20,1525.5,34.3333333333333,4.5,1,1,3,1
"EE TALLINN14",22,963.125,15.25,4.4375,1,2,4,2
"EE TALLINN16",21,1675,31.6666666666667,4.83333333333333,1,1,3,2
"EE TALLINN20",21,832.5,20,4.5,1,1,4,1
"EE TARTU01",23,1407.7224,36.76,6.24,2,12,25,15
"EE TARTU02",23,1397.3037826087,30.3086956521739,5.85869565217391,4,37,230,103
"EE TARTU03",21,1660.640625,33.5625,5.375,1,3,16,6
"EE TARTU05",21,1612.88642857143,26.7142857142857,6.42857142857143,2,6,14,9
"EE TARTU06",22,579.75,21,3.075,2,2,10,3
"F  AIX-PRO11",23.5,1594.18666666667,21.3333333333333,4.5,2,2,6,5
"F  AIX-PRO19",20.5,1155,30.75,5.25,2,3,4,3
"F  ALBI05",23,1249.6,23.6,4.7,2,2,5,3
"F  ALES02",23,1013.64,22.1428571428571,3.57142857142857,2,3,7,5
"F  AMIENS01",22,1860.76396551724,37.3275862068966,6.76724137931035,4,38,116,59
"F  AMIENS05",22,1579.70482758621,29.1724137931034,3.94827586206897,3,6,29,16
"F  AMIENS15",24.5,1528.75,26,4.5,1,2,4,3
"F  AMIENS18",24,1300,24.5,4,2,2,2,2
"F  ANGERS01",22,1843.56802197802,30.1318681318681,5.63186813186813,2,34,182,66
"F  ANGERS04",21,1483.13673913043,35.4565217391304,6.1304347826087,2,18,92,40
"F  ANGERS08",22.5,1837.01277777778,30.7777777777778,5.97222222222222,2,8,18,16
"F  ANGERS10",22,1570.55424657534,36.6575342465753,5.38698630136986,2,11,73,26
"F  ANGERS30",22,1647.78571428571,37.7142857142857,6.21428571428571,2,5,7,6
"F  ANGOULE05",21,1686.625,26.75,4.8125,1,2,4,3
"F  ANJOU02",23.5,650,33.375,5,1,1,8,1
"F  ANNECY04",21,1293.404,31.4,4.6,2,7,15,9
"F  ARLES03",23,793.25,30,4.25,2,2,2,2
"F  ARRAS12",23,1745.22952380952,31.1190476190476,5.44047619047619,2,13,42,22
"F  AUBIERE03",22,2812.5,10,4.5,1,1,1,1
"F  AV-FONT01",23,1065.06444444444,19,4.88888888888889,2,3,9,9
"F  AVIGNON01",21,1695.30931818182,34.8712121212121,5.99242424242424,3,20,132,43
"F  AVIGNON14",21,1460.5,30,5,1,1,1,1
"F  BAYONNE07",21,3039.16666666667,53,9.25,2,2,6,3
"F  BEAUVAI02",22,1738.604,27.1,4.45,2,5,10,6
"F  BELFORT06",22.5,2196.4025,24.9166666666667,5.47916666666667,1,5,12,8
"F  BESANCO01",21,1674.96413793103,35.7034482758621,6.38965517241379,2,32,145,60
"F  BESANCO06",23,1206.66666666667,41.6666666666667,8,1,4,6,3
"F  BESANCO14",21,1913.86363636364,40,6.38636363636364,2,6,11,5
"F  BESANCO21",20.5,1397.76,30.5,5,1,2,2,2
"F  BICETRE02",21.5,2506.66666666667,41.6666666666667,6.16666666666667,2,2,6,3
"F  BLOIS05",22.5,1468.525,24,5.5,1,2,2,2
"F  BLOIS10",21,2404.32666666667,33.3333333333333,6.5,2,1,3,2
"F  BLOIS11",22,1975,40,10.5,1,1,1,1
"F  BONNEUI01",21.5,1932,30,3.5,1,1,2,1
"F  BORDEAU01",22,1724.94421875,36.421875,7.6171875,2,22,64,42
"F  BORDEAU02",23,1702.55869822485,36.6272189349112,7.04733727810651,3,27,169,69
"F  Bordeau03",20,1100,24,5,1,1,1,1
"F  BORDEAU03",21,1773.44961038961,34.7359307359307,6.13852813852814,3,25,231,98
"F  BORDEAU12",22,1492.65694214876,31.7685950413223,5.09504132231405,2,11,121,34
"F  BORDEAU16",22,1890.47794117647,27.9411764705882,6.83088235294118,1,3,34,15
"F  BORDEAU27",23.5,1348.87166666667,42.5,9,1,2,6,4
"F  BORDEAU28",24,1150,29,5,1,1,1,1
"F  BORDEAU36",23.5,959.44,34.5,4.875,1,4,8,7
"F  BORDEAU37",21,1985.91123076923,42.3692307692308,6.59807692307692,2,13,130,59
"F  BORDEAU40",22,1159.47307692308,29.3846153846154,4.46153846153846,2,5,13,8
"F  BORDEAU41",21,2035.88058441558,37.8766233766234,7.11363636363636,2,15,154,63
"F  BORDEAU45",21,1161.68606060606,29.9090909090909,4.26515151515152,2,8,33,18
"F  BORDEAU49",20,1141.25,21,4.625,1,1,2,2
"F  BORDEAU54",22,1996.78,47.6666666666667,9.41666666666667,1,3,3,3
"F  BOULOGN02",21,2632.5,43,8.8125,2,1,4,4
"F  BOURGES04",24.5,1852.5,50.75,7.875,1,3,4,3
"F  BOURGES09",26,1150,21,5,1,1,1,1
"F  BREST01",22,1553.71614678899,31.1009174311927,5.97247706422018,2,23,109,48
"F  BREST08",22,1495.5,20.3333333333333,4,1,3,3,3
"F  BREST09",23,3630.56666666667,43.8666666666667,9.36666666666667,2,2,15,9
"F  BREST10",22,1666.92551724138,35.3103448275862,5.29310344827586,2,6,29,14
"F  BREST21",20,1921.25,12.5,5.125,1,2,4,2
"F  BRUZ03",25.5,2000,4,5,1,2,2,1
"F  CACHAN03",23,1428.94444444444,32.3333333333333,6.72222222222222,1,7,9,9
"F  CACHAN04",22.5,1502.5,42.5,7.25,1,2,2,2
"F  CAEN01",22,1742.32025806452,34.3677419354839,6.7258064516129,2,26,155,61
