"","HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES","cluster"
"802","EE TARTU02",23,1397.3037826087,30.3086956521739,5.85869565217391,4,37,230,103,2
"803","EE TARTU03",21,1660.640625,33.5625,5.375,1,3,16,6,1
"804","EE TARTU05",21,1612.88642857143,26.7142857142857,6.42857142857143,2,6,14,9,1
"805","EE TARTU06",22,579.75,21,3.075,2,2,10,3,1
"806","F  AIX-PRO11",23.5,1594.18666666667,21.3333333333333,4.5,2,2,6,5,1
"807","F  AIX-PRO19",20.5,1155,30.75,5.25,2,3,4,3,1
"808","F  ALBI05",23,1249.6,23.6,4.7,2,2,5,3,1
"809","F  ALES02",23,1013.64,22.1428571428571,3.57142857142857,2,3,7,5,1
"810","F  AMIENS01",22,1860.76396551724,37.3275862068966,6.76724137931035,4,38,116,59,2
"811","F  AMIENS05",22,1579.70482758621,29.1724137931034,3.94827586206897,3,6,29,16,1
"812","F  AMIENS15",24.5,1528.75,26,4.5,1,2,4,3,1
"813","F  AMIENS18",24,1300,24.5,4,2,2,2,2,1
"814","F  ANGERS01",22,1843.56802197802,30.1318681318681,5.63186813186813,2,34,182,66,2
"815","F  ANGERS04",21,1483.13673913043,35.4565217391304,6.1304347826087,2,18,92,40,1
"816","F  ANGERS08",22.5,1837.01277777778,30.7777777777778,5.97222222222222,2,8,18,16,1
"817","F  ANGERS10",22,1570.55424657534,36.6575342465753,5.38698630136986,2,11,73,26,1
"818","F  ANGERS30",22,1647.78571428571,37.7142857142857,6.21428571428571,2,5,7,6,1
"819","F  ANGOULE05",21,1686.625,26.75,4.8125,1,2,4,3,1
"820","F  ANJOU02",23.5,650,33.375,5,1,1,8,1,1
"821","F  ANNECY04",21,1293.404,31.4,4.6,2,7,15,9,1
"822","F  ARLES03",23,793.25,30,4.25,2,2,2,2,1
"823","F  ARRAS12",23,1745.22952380952,31.1190476190476,5.44047619047619,2,13,42,22,1
"824","F  AUBIERE03",22,2812.5,10,4.5,1,1,1,1,1
"825","F  AV-FONT01",23,1065.06444444444,19,4.88888888888889,2,3,9,9,1
"826","F  AVIGNON01",21,1695.30931818182,34.8712121212121,5.99242424242424,3,20,132,43,1
"827","F  AVIGNON14",21,1460.5,30,5,1,1,1,1,1
"828","F  BAYONNE07",21,3039.16666666667,53,9.25,2,2,6,3,1
"829","F  BEAUVAI02",22,1738.604,27.1,4.45,2,5,10,6,1
"830","F  BELFORT06",22.5,2196.4025,24.9166666666667,5.47916666666667,1,5,12,8,1
"831","F  BESANCO01",21,1674.96413793103,35.7034482758621,6.38965517241379,2,32,145,60,2
"832","F  BESANCO06",23,1206.66666666667,41.6666666666667,8,1,4,6,3,1
"833","F  BESANCO14",21,1913.86363636364,40,6.38636363636364,2,6,11,5,1
"834","F  BESANCO21",20.5,1397.76,30.5,5,1,2,2,2,1
"835","F  BICETRE02",21.5,2506.66666666667,41.6666666666667,6.16666666666667,2,2,6,3,1
"836","F  BLOIS05",22.5,1468.525,24,5.5,1,2,2,2,1
"837","F  BLOIS10",21,2404.32666666667,33.3333333333333,6.5,2,1,3,2,1
"838","F  BLOIS11",22,1975,40,10.5,1,1,1,1,1
"839","F  BONNEUI01",21.5,1932,30,3.5,1,1,2,1,1
"840","F  BORDEAU01",22,1724.94421875,36.421875,7.6171875,2,22,64,42,1
"841","F  BORDEAU02",23,1702.55869822485,36.6272189349112,7.04733727810651,3,27,169,69,2
"842","F  Bordeau03",20,1100,24,5,1,1,1,1,1
"843","F  BORDEAU03",21,1773.44961038961,34.7359307359307,6.13852813852814,3,25,231,98,2
"844","F  BORDEAU12",22,1492.65694214876,31.7685950413223,5.09504132231405,2,11,121,34,1
"845","F  BORDEAU16",22,1890.47794117647,27.9411764705882,6.83088235294118,1,3,34,15,1
"846","F  BORDEAU27",23.5,1348.87166666667,42.5,9,1,2,6,4,1
"847","F  BORDEAU28",24,1150,29,5,1,1,1,1,1
"848","F  BORDEAU36",23.5,959.44,34.5,4.875,1,4,8,7,1
"849","F  BORDEAU37",21,1985.91123076923,42.3692307692308,6.59807692307692,2,13,130,59,1
"850","F  BORDEAU40",22,1159.47307692308,29.3846153846154,4.46153846153846,2,5,13,8,1
"851","F  BORDEAU41",21,2035.88058441558,37.8766233766234,7.11363636363636,2,15,154,63,1
"852","F  BORDEAU45",21,1161.68606060606,29.9090909090909,4.26515151515152,2,8,33,18,1
"853","F  BORDEAU49",20,1141.25,21,4.625,1,1,2,2,1
"854","F  BORDEAU54",22,1996.78,47.6666666666667,9.41666666666667,1,3,3,3,1
"855","F  BOULOGN02",21,2632.5,43,8.8125,2,1,4,4,1
"856","F  BOURGES04",24.5,1852.5,50.75,7.875,1,3,4,3,1
"857","F  BOURGES09",26,1150,21,5,1,1,1,1,1
"858","F  BREST01",22,1553.71614678899,31.1009174311927,5.97247706422018,2,23,109,48,1
"859","F  BREST08",22,1495.5,20.3333333333333,4,1,3,3,3,1
"860","F  BREST09",23,3630.56666666667,43.8666666666667,9.36666666666667,2,2,15,9,1
"861","F  BREST10",22,1666.92551724138,35.3103448275862,5.29310344827586,2,6,29,14,1
